"ACTDATE","FLICODE","DEPARTURE","ARRIVAL","ELAPSEDTIME_FROM_LASTPOINT","ELAPSEDTIME_TOTAL","FLIGHT_LEVEL","TEMPERATURE","FUEL_REMAIN","GROUND_SPEED","WIND_SPEED","TAS","WIND_DIRECTION","HEADING","WAYPOINT","WAYPOINT_ORDER","DISTANCE_FROM_LASTPOINT","LATITUDE","LONGITUDE"
2018-06-06,"BR067","BKK","LHR",2,2,"CLB","P26",106.6,148,16,NA,261,194,"LOUIS",1,5,13.6,100.736666666667
2018-06-06,"BR067","BKK","LHR",2,4,"CLB","P22",106.2,256,18,NA,263,224,"BS907",2,6,13.52,100.668333333333
2018-06-06,"BR067","BKK","LHR",1,5,"CLB","P16",105.8,267,19,NA,265,284,"BS909",3,6,13.545,100.571666666667
2018-06-06,"BR067","BKK","LHR",2,7,"CLB","P13",105.4,288,19,NA,266,358,"BS910",4,9,13.6933333333333,100.575
2018-06-06,"BR067","BKK","LHR",1,8,"CLB","P11",104.7,335,19,NA,267,359,"BS911",5,8,13.8233333333333,100.578333333333
2018-06-06,"BR067","BKK","LHR",2,10,"CLB","P07",104,365,16,NA,276,296,"INTRO",6,12,13.9083333333333,100.398333333333
2018-06-06,"BR067","BKK","LHR",1,11,"CLB","P01",103.6,394,13,NA,289,296,"JROCK",7,9,13.975,100.256666666667
2018-06-06,"BR067","BKK","LHR",4,15,"CLB","M05",102.7,422,9,NA,309,303,"TEMPO",8,23,14.1833333333333,99.92
2018-06-06,"BR067","BKK","LHR",3,18,"CLB","M12",101.7,460,5,NA,339,305,"TARED",9,28,14.4383333333333,99.525
2018-06-06,"BR067","BKK","LHR",5,23,"300","M21",100.6,496,6,NA,58,299,"T_O_C",10,40,14.7466666666667,98.9116666666667
2018-06-06,"BR067","BKK","LHR",6,29,NA,NA,NA,NA,NA,NA,NA,NA,"-VYYF YANGON_FIR",11,46,15.0966666666667,98.2116666666667
